row_id,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_optmag,st_optband,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2
1499,Kepler-1504,b,Transit,1,1.13E-05,0.001593,-0.001593,19h18m50.88s,289.711993,+50d07m41.6s,50.128212,0.120726769,102.29,-89.79,0.767046632,Kepler-band,5393,102.27,-78.86,0.213917526,0.06,-0.06,0.81,0.08,-0.07
1500,Kepler-1505,b,Transit,1,4.22E-06,0.0002252,-0.0002252,19h28m00.49s,292.002052,+41d47m13.1s,41.786961,0.04187346,11.05,-13.34,0.628911917,Kepler-band,5686,65.36,-53.94,0.234536082,0.03,-0.04,0.86,0.02,-0.03
1501,Kepler-1506,b,Transit,1,1.91E-06,0.0002811,-0.0002811,19h20m35.97s,290.149884,+41d27m52.5s,41.464595,0.154739613,170.9,-104.37,0.766943005,Kepler-band,5676,104.55,-89.59,0.239690722,0.05,-0.06,0.93,0.12,-0.07
1502,Kepler-1507,b,Transit,1,2.19E-06,0.0001447,-0.0001447,19h14m14.77s,288.561525,+46d32m09.8s,46.536053,0.039872705,35.04,-24.24,0.636580311,Kepler-band,5410,63.43,-70.14,0.224226804,0.04,-0.05,0.85,0.09,-0.06
1503,Kepler-1508,b,Transit,1,2.82E-06,0.0005499,-0.0005499,19h52m28.53s,298.118885,+40d22m30.2s,40.375047,0.104603032,365.17,-177.51,0.695647668,Kepler-band,6158,294.77,-280.41,0.288659794,0.22,-0.12,1.22,0.48,-0.23
1504,Kepler-1509,b,Transit,1,3.47E-06,0.0003114,-0.0003114,18h55m11.48s,283.797813,+46d55m51.6s,46.931004,0.149914262,199.54,-105.41,0.753160622,Kepler-band,5780,69.62,-80.25,0.25257732,0.05,-0.05,0.99,0.16,-0.08
1505,Kepler-151,b,Transit,2,2.07E-06,3.00E-05,-3.00E-05,19h28m39.07s,292.162778,+41d01m23.6s,41.023235,0.163174171,323.29,-162.7633333,0.72119171,Kepler-band,5460,200,-200,0.208762887,0.083333333,-0.073333333,0.83,0.41,-0.41
1506,Kepler-151,c,Transit,2,3.37E-06,0.000106,-0.000106,19h28m39.07s,292.162778,+41d01m23.6s,41.023235,0.176434081,447.04,-220.1166667,0.72119171,Kepler-band,5460,200,-200,0.208762887,0.116666667,-0.096666667,0.83,0.41,-0.41
1507,Kepler-1510,b,Transit,1,1.16E-05,0.001896,-0.001896,19h55m50.19s,298.959138,+48d15m28.2s,48.257824,0.18969399,570.79,-277.47,0.741917098,Kepler-band,6200,177.72,-224.25,0.301546392,0.15,-0.12,1.28,0.46,-0.2
1508,Kepler-1511,b,Transit,1,3.17E-06,0.000222,-0.000222,19h13m41.09s,288.421218,+43d10m47.3s,43.179798,0.10519149,362.46,-130.66,0.677823834,Kepler-band,6064,72.72,-86.89,0.296391753,0.17,-0.07,1.29,0.53,-0.18
1509,Kepler-1512,b,Transit,1,2.78E-06,5.87E-05,-5.87E-05,19h17m05.88s,289.274503,+44d28m12.9s,44.470253,0.018688234,5.8,-15.91,0.649896373,Kepler-band,4372,59.14,-63.7,0.182989691,0.02,-0.1,0.67,0.02,-0.06
1510,Kepler-1513,b,Transit,1,2.20E-05,7.72E-05,-7.72E-05,19h19m09.99s,289.791634,+39d17m07.0s,39.285277,0.044815748,63.99,-34.78,0.62373057,Kepler-band,5617,176.78,-124.96,0.25,0.07,-0.05,0.97,0.16,-0.08
1511,Kepler-1514,b,Transit,1,2.98E-05,0.0001058,-0.0001058,19h30m30.59s,292.627466,+37d51m36.5s,37.860133,0.044227291,20.87,-18.36,0.561658031,Kepler-band,6251,81.98,-87.8,0.306701031,0.04,-0.04,1.22,0.06,-0.05
1512,Kepler-1515,b,Transit,1,2.93E-05,0.0001275,-0.0001275,19h23m53.74s,290.97393,+48d10m41.4s,48.178162,0.058938729,41.01,-35.51,0.579792746,Kepler-band,6511,94.24,-81.34,0.329896907,0.06,-0.05,1.41,0.11,-0.1
1513,Kepler-1516,b,Transit,1,9.82E-07,3.61E-05,-3.61E-05,19h25m58.70s,291.494603,+44d31m24.6s,44.523502,0.102249202,183.88,-100.2,0.705233161,Kepler-band,5904,92.11,-142.16,0.262886598,0.07,-0.06,1.07,0.23,-0.12
1514,Kepler-1517,b,Transit,1,7.47E-07,7.09E-06,-7.09E-06,19h11m13.73s,287.80722,+43d11m19.6s,43.188778,0.101896128,238.65,-167.29,0.590777202,Kepler-band,7010,117.01,-113.2,0.402061856,0.18,-0.15,1.95,0.53,-0.37
1515,Kepler-1518,b,Transit,1,6.88E-07,5.08E-05,-5.08E-05,20h01m19.77s,300.332385,+44d59m10.1s,44.986137,0.133790526,368.49,-229.54,0.645388601,Kepler-band,6846,320.29,-290.12,0.391752577,0.21,-0.18,1.88,0.61,-0.38
1516,Kepler-1519,b,Transit,1,3.30E-05,0.0006117,-0.0006117,19h46m40.30s,296.667903,+49d27m42.7s,49.461861,0.100601521,102.69,-68.77,0.723937824,Kepler-band,5644,138.77,-112.71,0.237113402,0.06,-0.06,0.91,0.1,-0.07
